Year,Month,Sales(In ThousandDollars),ProductCategory_MenClothing,ProductCategory_OtherClothing,ProductCategory_WomenClothing
2009,1,1755.0,False,False,True
2009,1,524.0,True,False,False
2009,1,936.0,False,True,False
2009,2,1729.0,False,False,True
2009,2,496.0,True,False,False
2009,2,859.0,False,True,False
2009,3,2256.0,False,False,True
2009,3,542.0,True,False,False
2009,3,921.0,False,True,False
2009,4,2662.0,False,False,True
2009,4,669.0,True,False,False
2009,4,914.0,False,True,False
2009,5,2732.0,False,False,True
2009,5,650.0,True,False,False
2009,5,989.0,False,True,False
2009,6,2220.0,False,False,True
2009,6,607.0,True,False,False
2009,6,932.0,False,True,False
2009,7,2164.0,False,False,True
2009,7,575.0,True,False,False
2009,7,901.0,False,True,False
2009,8,2371.0,False,False,True
2009,8,551.0,True,False,False
2009,8,865.0,False,True,False
2009,9,2421.0,False,False,True
2009,9,579.0,True,False,False
2009,9,819.0,False,True,False
2009,10,2579.0,False,False,True
2009,10,610.0,True,False,False
2009,10,914.0,False,True,False
2009,11,2521.0,False,False,True
2009,11,620.0,True,False,False
2009,11,955.0,False,True,False
2009,12,3390.0,False,False,True
2009,12,930.0,True,False,False
2009,12,1351.0,False,True,False
2010,1,2142.0,False,False,True
2010,1,476.0,True,False,False
2010,1,945.0,False,True,False
2010,2,2413.0,False,False,True
2010,2,471.0,True,False,False
2010,2,869.0,False,True,False
2010,3,3102.0,False,False,True
2010,3,568.0,True,False,False
2010,3,941.0,False,True,False
2010,4,1041.0,False,False,True
2010,4,630.0,True,False,False
2010,4,1041.0,False,True,False
2010,5,3221.0,False,False,True
2010,5,627.0,True,False,False
2010,5,991.0,False,True,False
2010,6,2756.0,False,False,True
2010,6,598.0,True,False,False
2010,6,984.0,False,True,False
2010,7,2749.0,False,False,True
2010,7,544.0,True,False,False
2010,7,937.0,False,True,False
2010,8,2807.0,False,False,True
2010,8,1041.0,True,False,False
2010,8,897.0,False,True,False
2010,9,2919.0,False,False,True
2010,9,563.0,True,False,False
2010,9,839.0,False,True,False
2010,10,3071.0,False,False,True
2010,10,634.0,True,False,False
2010,10,930.0,False,True,False
2010,11,3276.0,False,False,True
2010,11,669.0,True,False,False
2010,11,1035.0,False,True,False
2010,12,4360.0,False,False,True
2010,12,988.0,True,False,False
2010,12,1398.0,False,True,False
2011,1,2193.0,False,False,True
2011,1,487.0,True,False,False
2011,1,968.0,False,True,False
2011,2,2620.0,False,False,True
2011,2,497.0,True,False,False
2011,2,878.0,False,True,False
2011,3,3266.0,False,False,True
2011,3,599.0,True,False,False
2011,3,1064.0,False,True,False
2011,4,3414.0,False,False,True
2011,4,690.0,True,False,False
2011,4,985.0,False,True,False
2011,5,3340.0,False,False,True
2011,5,677.0,True,False,False
2011,5,1027.0,False,True,False
2011,6,3232.0,False,False,True
2011,6,1041.0,True,False,False
2011,6,1041.0,False,True,False
2011,7,2896.0,False,False,True
2011,7,587.0,True,False,False
2011,7,985.0,False,True,False
2011,8,3245.0,False,False,True
2011,8,549.0,True,False,False
2011,8,1001.0,False,True,False
2011,9,3182.0,False,False,True
2011,9,643.0,True,False,False
2011,9,930.0,False,True,False
2011,10,1041.0,False,False,True
2011,10,682.0,True,False,False
2011,10,1020.0,False,True,False
2011,11,3499.0,False,False,True
2011,11,707.0,True,False,False
2011,11,1147.0,False,True,False
2011,12,4775.0,False,False,True
2011,12,1081.0,True,False,False
2011,12,1596.0,False,True,False
2012,1,2287.0,False,False,True
2012,1,525.0,True,False,False
2012,1,1039.0,False,True,False
2012,2,2800.0,False,False,True
2012,2,545.0,True,False,False
2012,2,1041.0,False,True,False
2012,3,3566.0,False,False,True
2012,3,623.0,True,False,False
2012,3,1229.0,False,True,False
2012,4,3724.0,False,False,True
2012,4,711.0,True,False,False
2012,4,1136.0,False,True,False
2012,5,3800.0,False,False,True
2012,5,725.0,True,False,False
2012,5,1155.0,False,True,False
2012,6,3086.0,False,False,True
2012,6,703.0,True,False,False
2012,6,1205.0,False,True,False
2012,7,2877.0,False,False,True
2012,7,613.0,True,False,False
2012,7,1049.0,False,True,False
2012,8,3059.0,False,False,True
2012,8,1041.0,True,False,False
2012,8,1124.0,False,True,False
2012,9,1041.0,False,False,True
2012,9,687.0,True,False,False
2012,9,1045.0,False,True,False
2012,10,3168.0,False,False,True
2012,10,710.0,True,False,False
2012,10,1158.0,False,True,False
2012,11,3558.0,False,False,True
2012,11,731.0,True,False,False
2012,11,1252.0,False,True,False
2012,12,4824.0,False,False,True
2012,12,1080.0,True,False,False
2012,12,1475.0,False,True,False
2013,1,2320.0,False,False,True
2013,1,599.0,True,False,False
2013,1,1036.0,False,True,False
2013,2,2872.0,False,False,True
2013,2,560.0,True,False,False
2013,2,1144.0,False,True,False
2013,3,3687.0,False,False,True
2013,3,682.0,True,False,False
2013,3,1346.0,False,True,False
2013,4,3883.0,False,False,True
2013,4,718.0,True,False,False
2013,4,1188.0,False,True,False
2013,5,4170.0,False,False,True
2013,5,749.0,True,False,False
2013,5,1194.0,False,True,False
2013,6,3360.0,False,False,True
2013,6,678.0,True,False,False
2013,6,1261.0,False,True,False
2013,7,3320.0,False,False,True
2013,7,648.0,True,False,False
2013,7,1126.0,False,True,False
2013,8,3539.0,False,False,True
2013,8,687.0,True,False,False
2013,8,1311.0,False,True,False
2013,9,3720.0,False,False,True
2013,9,681.0,True,False,False
2013,9,1043.0,False,True,False
2013,10,3590.0,False,False,True
2013,10,785.0,True,False,False
2013,10,1041.0,False,True,False
2013,11,3834.0,False,False,True
2013,11,798.0,True,False,False
2013,11,1209.0,False,True,False
2013,12,4865.0,False,False,True
2013,12,1085.0,True,False,False
2013,12,1566.0,False,True,False
